segment,model,series_id,row_count,mae,rmse,mape_percent
price_change,ridge,53,1,0.7156732482910151,0.7156732482910151,7.353059162550242
price_change,ridge,54,1,0.20678978729248065,0.20678978729248065,1.4098983247595327
price_change,ridge,55,1,0.13362211227416987,0.13362211227416987,5.772013489165005
price_change,ridge,56,1,0.10477485656738272,0.10477485656738272,4.365619023640948
price_change,ridge,58,1,0.08997154235839844,0.08997154235839844,0.856871831984747
price_change,ridge,59,1,0.6564468383789066,0.6564468383789066,4.826814988080195
large_change_relative_top_25_percent,baseline_lag_1,3,1,0.125,0.125,14.285714285714285
large_change_relative_top_25_percent,baseline_lag_1,16,6,1.6833333333333333,1.7131160692336835,21.217703984632767
large_change_relative_top_25_percent,baseline_lag_1,19,8,0.755,0.8039434059683555,18.186066266236793
large_change_relative_top_25_percent,baseline_lag_1,20,5,1.2399999999999998,1.3215748181620286,26.197477931076683
large_change_relative_top_25_percent,baseline_lag_1,22,3,2.8000000000000003,2.8568630815400775,21.700397420115074
large_change_relative_top_25_percent,baseline_lag_1,23,5,1.7797999999999994,2.0075140348201796,29.88778651246448
large_change_relative_top_25_percent,baseline_lag_1,26,6,2.0958333333333328,2.130605352163245,20.233478296843906
large_change_relative_top_25_percent,baseline_lag_1,28,1,0.16699999999999993,0.16699999999999993,16.58391261171797
large_change_relative_top_25_percent,baseline_lag_1,29,4,0.5625,0.5752716749501926,20.507336301919846
large_change_relative_top_25_percent,baseline_lag_1,30,4,0.7837500000000002,0.7848526931851608,20.468666374738483
large_change_relative_top_25_percent,baseline_lag_1,31,2,0.39,0.40024992192379,17.851458885941646
large_change_relative_top_25_percent,baseline_lag_1,32,1,0.31999999999999984,0.31999999999999984,12.698412698412692
large_change_relative_top_25_percent,baseline_lag_1,33,4,0.9675,0.9690072239152813,41.84837757690181
large_change_relative_top_25_percent,baseline_lag_1,34,10,0.6545,1.0192313280114578,24.473747849548115
large_change_relative_top_25_percent,baseline_lag_1,35,5,3.45,3.7198790302911733,29.040102853619747
large_change_relative_top_25_percent,baseline_lag_1,36,2,0.9375,0.9395810236483068,22.19298245614035
